이름,Materials,Part (Prosthesis)
Hybrid Ceramic_Inlay/Onlay_2nd -Occlusal [+0.05],Hybrid Ceramic,Inlay/Onlay
PMMA_Over Structure,PMMA,Over structure
Zirconia_Abutment Crown_NCS (highnees),Zirconia,Abutment crown
PMMA_Full denture,PMMA,Full denture
Hybrid Ceramic_Abutment Crown bridge_NCS (highnees),Hybrid Ceramic,Abutment crown bridge
Zirconia_Abutment Crown_NCS (Megalink),Zirconia,Abutment crown
Hybrid Ceramic_Inlay/Onlay_D0.6 [+0.08],Hybrid Ceramic,Inlay/Onlay
PMMA_Abutment Crown bridge_NCS (highnees),PMMA,Abutment crown bridge
PMMA_denture Teeth,PMMA,Denture Teeth
PEEK_Flexible denture,PEEK,Flexible denture
PEEK_Partial Frame,PEEK,Partial Frame
PMMA_Abutment crown_NCS (highnees),PMMA,Abutment crown
Hybrid Ceramic_Inlay/Onlay_1st -Cavity [+0.08],Hybrid Ceramic,Inlay/Onlay
Zirconia_Abutment crown,Zirconia,Abutment crown
PMMA_Abutment Crown bridge,PMMA,Abutment crown bridge
Hybrid Ceramic_Inlay/Onlay_2nd -Occlusal [+0.08],Hybrid Ceramic,Inlay/Onlay
Zirconia_Over Structure,Zirconia,Over structure
PMMA_Flexble denture,PMMA,Flexible denture
Hybrid Ceramic_Inlay/Onlay_D0.6,Hybrid Ceramic,Inlay/Onlay
PMMA_Partial Frame,PMMA,Partial Frame
Hybrid Ceramic_Inlay/Onlay/ -Slow,Hybrid Ceramic,Inlay/Onlay
"Hybrid Ceramic_Abutment Crown_NCS
  (highnees)",Hybrid Ceramic,Abutment crown
PMMA_Abutment crown,PMMA,Abutment crown
PEEK_Abutment Crown bridge,PEEK,Abutment crown bridge
PMMA_Coping/Crown_Bridge_(Fast mill),PMMA,"Coping bridge, Crown bridge"
PMMA_Crown bridge_SCRP_D0.6,PMMA,"Coping bridge, Crown bridge"
Hybrid Ceramic_Inlay/Crown bridge_SCRP_5X_D0.6,Hybrid Ceramic,"Crown bridge, Inlay/Crown bridge"
Wax_Crown bridge_D0.6,Wax,"Crown bridge, Inlay/Crown bridge"
Zirconia_Crown bridge_D0.6,Zirconia,Crown bridge
Zirconia_Coping bridge,Zirconia,Coping bridge
Hybrid Ceramic_Inlay/Onlay_1st -Cavity,Hybrid Ceramic,Inlay/Onlay
Zirconia_Crown_D0.6,Zirconia,Crown
PMMA_Coping/Crown bridge_SCRP,PMMA,"Coping bridge, Crown bridge"
PMMA_Coping/Crown_(Fast mill),PMMA,"Coping, Crown"
Hybrid Ceramic_Inlay/Crown bridge_SCRP_5X,Hybrid Ceramic,"Crown bridge, Inlay/Crown bridge"
Hybrid Ceramic_Inlay/Onlay_2nd -Occlusal,Hybrid Ceramic,Inlay/Onlay
PEEK_Abutment Crown,PEEK,Abutment crown
Hybrid Ceramic_Crown_SCRP_5X_D0.6,Hybrid Ceramic,Crown
PMMA_Crown_SCRP_D0.6,PMMA,Crown
Hybrid Ceramic_Crown_SCRP_5X,Hybrid Ceramic,Crown
PEEK_Crown/SCRP Bridge_5x,PEEK,"Coping bridge, Crown bridge"
Zirconia_Coping,Zirconia,Coping
Zirconia_Inlay/Onlay bridge_D0.6,Zirconia,Inlay/Crown bridge
Wax_Coping bridge,Wax,Coping bridge
Zirconia_Inlay/Onlay_D0.6,Zirconia,Inlay/Onlay
PEEK_Crown/SCRP_5x,PEEK,"Coping, Crown"
Hybrid Ceramic_Inlay/Onlay_D0.6 [+0.05],Hybrid Ceramic,Inlay/Onlay
PMMA_Coping_Crown_SCRP,PMMA,"Coping, Crown"
PEEK_Over Structure,PEEK,Over structure
PEEK_Full denture,PEEK,Full denture
PEEK_denture Teeth,PEEK,Denture Teeth
WAX - Crown_D0.6,Wax,Crown
WAX - Coping,Wax,Coping
Wax_Inlay/Onlay -D0.6,Wax,Inlay/Onlay
Hybrid Ceramic_Inlay/Onlay_1st -Cavity [+0.05],Hybrid Ceramic,Inlay/Onlay
Zirconia_Abutment Crown Bridge_NCS (B0.6),Zirconia,Abutment crown bridge
"Zirconia_Abutment Crown Bridge_NCS
  (highnees)",Zirconia,Abutment crown bridge
Zirconia_Abutment Crown Bridge_NCS  (Megalink),Zirconia,Abutment crown bridge
Zirconia_Abutment crown bridge,Zirconia,Abutment crown bridge
Zirconia_Abutment Crown_NCS (B0.6),Zirconia,Abutment crown
,Hybrid Ceramic,
